00001 A00     0 Cholera                                                      Cholera
83911 T82190D 1 Mech compl of cardiac electrode, subsequent encounter        Other mechanical complication of cardiac electrode, subsequent encounter
83912 T82190S 1 Other mechanical complication of cardiac electrode, sequela  Other mechanical complication of cardiac electrode, sequela
83913 T82191  0 Mech compl of cardiac pulse generator (battery)              Other mechanical complication of cardiac pulse generator (battery)
83914 T82191A 1 Mech compl of cardiac pulse generator (battery), init encntr Other mechanical complication of cardiac pulse generator (battery), initial encounter
83915 T82191D 1 Mech compl of cardiac pulse generator (battery), subs encntr Other mechanical complication of cardiac pulse generator (battery), subsequent encounter
83916 T82191S 1 Mech compl of cardiac pulse generator (battery), sequela     Other mechanical complication of cardiac pulse generator (battery), sequela
83917 T82198  0 Mech compl of other cardiac electronic device                Other mechanical complication of other cardiac electronic device
83918 T82198A 1 Mech compl of other cardiac electronic device, init encntr   Other mechanical complication of other cardiac electronic device, initial encounter
83919 T82198D 1 Mech compl of other cardiac electronic device, subs encntr   Other mechanical complication of other cardiac electronic device, subsequent encounter
83920 T82198S 1 Mech compl of other cardiac electronic device, sequela       Other mechanical complication of other cardiac electronic device, sequela
83921 T82199  0 Other mechanical complication of unspecified cardiac device  Other mechanical complication of unspecified cardiac device
83922 T82199A 1 Mech compl of unspecified cardiac device, initial encounter  Other mechanical complication of unspecified cardiac device, initial encounter
83923 T82199D 1 Mech compl of unspecified cardiac device, subs encntr        Other mechanical complication of unspecified cardiac device, subsequent encounter
83924 T82199S 1 Mech compl of unspecified cardiac device, sequela            Other mechanical complication of unspecified cardiac device, sequela
83925 T822    0 Mech comp of cor art bypass and biolg heart valve graft      Mechanical complication of coronary artery bypass graft and biological heart valve graft
83926 T8221   0 Mechanical complication of coronary artery bypass graft      Mechanical complication of coronary artery bypass graft
83927 T82211  0 Breakdown (mechanical) of coronary artery bypass graft       Breakdown (mechanical) of coronary artery bypass graft
83928 T82211A 1 Breakdown (mechanical) of coronary artery bypass graft, init Breakdown (mechanical) of coronary artery bypass graft, initial encounter
83929 T82211D 1 Breakdown (mechanical) of coronary artery bypass graft, subs Breakdown (mechanical) of coronary artery bypass graft, subsequent encounter
83930 T82211S 1 Breakdown (mechanical) of cor art bypass graft, sequela      Breakdown (mechanical) of coronary artery bypass graft, sequela
83931 T82212  0 Displacement of coronary artery bypass graft                 Displacement of coronary artery bypass graft
83932 T82212A 1 Displacement of coronary artery bypass graft, init encntr    Displacement of coronary artery bypass graft, initial encounter
83933 T82212D 1 Displacement of coronary artery bypass graft, subs encntr    Displacement of coronary artery bypass graft, subsequent encounter
83934 T82212S 1 Displacement of coronary artery bypass graft, sequela        Displacement of coronary artery bypass graft, sequela
83935 T82213  0 Leakage of coronary artery bypass graft                      Leakage of coronary artery bypass graft
83936 T82213A 1 Leakage of coronary artery bypass graft, initial encounter   Leakage of coronary artery bypass graft, initial encounter
83937 T82213D 1 Leakage of coronary artery bypass graft, subs encntr         Leakage of coronary artery bypass graft, subsequent encounter
83938 T82213S 1 Leakage of coronary artery bypass graft, sequela             Leakage of coronary artery bypass graft, sequela
83939 T82218  0 Mech compl of coronary artery bypass graft                   Other mechanical complication of coronary artery bypass graft
83940 T82218A 1 Mech compl of coronary artery bypass graft, init encntr      Other mechanical complication of coronary artery bypass graft, initial encounter
83941 T82218D 1 Mech compl of coronary artery bypass graft, subs encntr      Other mechanical complication of coronary artery bypass graft, subsequent encounter
83942 T82218S 1 Mech compl of coronary artery bypass graft, sequela          Other mechanical complication of coronary artery bypass graft, sequela
83943 T8222   0 Mechanical complication of biological heart valve graft      Mechanical complication of biological heart valve graft
83944 T82221  0 Breakdown (mechanical) of biological heart valve graft       Breakdown (mechanical) of biological heart valve graft
83945 T82221A 1 Breakdown (mechanical) of biological heart valve graft, init Breakdown (mechanical) of biological heart valve graft, initial encounter
83946 T82221D 1 Breakdown (mechanical) of biological heart valve graft, subs Breakdown (mechanical) of biological heart valve graft, subsequent encounter
83947 T82221S 1 Breakdown of biological heart valve graft, sequela           Breakdown (mechanical) of biological heart valve graft, sequela
83948 T82222  0 Displacement of biological heart valve graft                 Displacement of biological heart valve graft
83949 T82222A 1 Displacement of biological heart valve graft, init encntr    Displacement of biological heart valve graft, initial encounter
83950 T82222D 1 Displacement of biological heart valve graft, subs encntr    Displacement of biological heart valve graft, subsequent encounter
83951 T82222S 1 Displacement of biological heart valve graft, sequela        Displacement of biological heart valve graft, sequela
83952 T82223  0 Leakage of biological heart valve graft                      Leakage of biological heart valve graft
83953 T82223A 1 Leakage of biological heart valve graft, initial encounter   Leakage of biological heart valve graft, initial encounter
83954 T82223D 1 Leakage of biological heart valve graft, subs encntr         Leakage of biological heart valve graft, subsequent encounter
83955 T82223S 1 Leakage of biological heart valve graft, sequela             Leakage of biological heart valve graft, sequela
83956 T82228  0 Mech compl of biological heart valve graft                   Other mechanical complication of biological heart valve graft
83957 T82228A 1 Mech compl of biological heart valve graft, init encntr      Other mechanical complication of biological heart valve graft, initial encounter
83958 T82228D 1 Mech compl of biological heart valve graft, subs encntr      Other mechanical complication of biological heart valve graft, subsequent encounter
83959 T82228S 1 Mech compl of biological heart valve graft, sequela          Other mechanical complication of biological heart valve graft, sequela
83960 T823    0 Mechanical complication of other vascular grafts             Mechanical complication of other vascular grafts
83961 T8231   0 Breakdown (mechanical) of other vascular grafts              Breakdown (mechanical) of other vascular grafts
83962 T82310  0 Breakdown (mechanical) of aortic (bifurcation) graft         Breakdown (mechanical) of aortic (bifurcation) graft (replacement)
83963 T82310A 1 Breakdown (mechanical) of aortic (bifurcation) graft, init   Breakdown (mechanical) of aortic (bifurcation) graft (replacement), initial encounter
83964 T82310D 1 Breakdown (mechanical) of aortic (bifurcation) graft, subs   Breakdown (mechanical) of aortic (bifurcation) graft (replacement), subsequent encounter
83965 T82310S 1 Breakdown of aortic (bifurcation) graft, sequela             Breakdown (mechanical) of aortic (bifurcation) graft (replacement), sequela
83966 T82311  0 Breakdown (mechanical) of carotid arterial graft (bypass)    Breakdown (mechanical) of carotid arterial graft (bypass)
83967 T82311A 1 Breakdown of carotid arterial graft (bypass), init           Breakdown (mechanical) of carotid arterial graft (bypass), initial encounter
83968 T82311D 1 Breakdown of carotid arterial graft (bypass), subs           Breakdown (mechanical) of carotid arterial graft (bypass), subsequent encounter
83969 T82311S 1 Breakdown of carotid arterial graft (bypass), sequela        Breakdown (mechanical) of carotid arterial graft (bypass), sequela
83970 T82312  0 Breakdown (mechanical) of femoral arterial graft (bypass)    Breakdown (mechanical) of femoral arterial graft (bypass)
83971 T82312A 1 Breakdown of femoral arterial graft (bypass), init           Breakdown (mechanical) of femoral arterial graft (bypass), initial encounter
83972 T82312D 1 Breakdown of femoral arterial graft (bypass), subs           Breakdown (mechanical) of femoral arterial graft (bypass), subsequent encounter
83973 T82312S 1 Breakdown of femoral arterial graft (bypass), sequela        Breakdown (mechanical) of femoral arterial graft (bypass), sequela
83974 T82318  0 Breakdown (mechanical) of other vascular grafts              Breakdown (mechanical) of other vascular grafts
83975 T82318A 1 Breakdown (mechanical) of other vascular grafts, init encntr Breakdown (mechanical) of other vascular grafts, initial encounter
83976 T82318D 1 Breakdown (mechanical) of other vascular grafts, subs encntr Breakdown (mechanical) of other vascular grafts, subsequent encounter
83977 T82318S 1 Breakdown (mechanical) of other vascular grafts, sequela     Breakdown (mechanical) of other vascular grafts, sequela
83978 T82319  0 Breakdown (mechanical) of unspecified vascular grafts        Breakdown (mechanical) of unspecified vascular grafts
83979 T82319A 1 Breakdown (mechanical) of unsp vascular grafts, init encntr  Breakdown (mechanical) of unspecified vascular grafts, initial encounter
83980 T82319D 1 Breakdown (mechanical) of unsp vascular grafts, subs encntr  Breakdown (mechanical) of unspecified vascular grafts, subsequent encounter
83981 T82319S 1 Breakdown (mechanical) of unsp vascular grafts, sequela      Breakdown (mechanical) of unspecified vascular grafts, sequela
83982 T8232   0 Displacement of other vascular grafts                        Displacement of other vascular grafts
83983 T82320  0 Displacement of aortic (bifurcation) graft (replacement)     Displacement of aortic (bifurcation) graft (replacement)
83984 T82320A 1 Displacement of aortic (bifurcation) graft, init             Displacement of aortic (bifurcation) graft (replacement), initial encounter
83985 T82320D 1 Displacement of aortic (bifurcation) graft, subs             Displacement of aortic (bifurcation) graft (replacement), subsequent encounter
83986 T82320S 1 Displacement of aortic (bifurcation) graft, sequela          Displacement of aortic (bifurcation) graft (replacement), sequela
83987 T82321  0 Displacement of carotid arterial graft (bypass)              Displacement of carotid arterial graft (bypass)
83988 T82321A 1 Displacement of carotid arterial graft (bypass), init encntr Displacement of carotid arterial graft (bypass), initial encounter
83989 T82321D 1 Displacement of carotid arterial graft (bypass), subs encntr Displacement of carotid arterial graft (bypass), subsequent encounter
83990 T82321S 1 Displacement of carotid arterial graft (bypass), sequela     Displacement of carotid arterial graft (bypass), sequela
83991 T82322  0 Displacement of femoral arterial graft (bypass)              Displacement of femoral arterial graft (bypass)
83992 T82322A 1 Displacement of femoral arterial graft (bypass), init encntr Displacement of femoral arterial graft (bypass), initial encounter
83993 T82322D 1 Displacement of femoral arterial graft (bypass), subs encntr Displacement of femoral arterial graft (bypass), subsequent encounter
83994 T82322S 1 Displacement of femoral arterial graft (bypass), sequela     Displacement of femoral arterial graft (bypass), sequela
83995 T82328  0 Displacement of other vascular grafts                        Displacement of other vascular grafts
83996 T82328A 1 Displacement of other vascular grafts, initial encounter     Displacement of other vascular grafts, initial encounter
83997 T82328D 1 Displacement of other vascular grafts, subsequent encounter  Displacement of other vascular grafts, subsequent encounter
83998 T82328S 1 Displacement of other vascular grafts, sequela               Displacement of other vascular grafts, sequela
83999 T82329  0 Displacement of unspecified vascular grafts                  Displacement of unspecified vascular grafts
84000 T82329A 1 Displacement of unspecified vascular grafts, init encntr     Displacement of unspecified vascular grafts, initial encounter
84001 T82329D 1 Displacement of unspecified vascular grafts, subs encntr     Displacement of unspecified vascular grafts, subsequent encounter
84002 T82329S 1 Displacement of unspecified vascular grafts, sequela         Displacement of unspecified vascular grafts, sequela
84003 T8233   0 Leakage of other vascular grafts                             Leakage of other vascular grafts
84004 T82330  0 Leakage of aortic (bifurcation) graft (replacement)          Leakage of aortic (bifurcation) graft (replacement)
84005 T82330A 1 Leakage of aortic (bifurcation) graft (replacement), init    Leakage of aortic (bifurcation) graft (replacement), initial encounter
84006 T82330D 1 Leakage of aortic (bifurcation) graft (replacement), subs    Leakage of aortic (bifurcation) graft (replacement), subsequent encounter
84007 T82330S 1 Leakage of aortic (bifurcation) graft (replacement), sequela Leakage of aortic (bifurcation) graft (replacement), sequela
84008 T82331  0 Leakage of carotid arterial graft (bypass)                   Leakage of carotid arterial graft (bypass)
84009 T82331A 1 Leakage of carotid arterial graft (bypass), init encntr      Leakage of carotid arterial graft (bypass), initial encounter
84010 T82331D 1 Leakage of carotid arterial graft (bypass), subs encntr      Leakage of carotid arterial graft (bypass), subsequent encounter
84011 T82331S 1 Leakage of carotid arterial graft (bypass), sequela          Leakage of carotid arterial graft (bypass), sequela
84012 T82332  0 Leakage of femoral arterial graft (bypass)                   Leakage of femoral arterial graft (bypass)
84013 T82332A 1 Leakage of femoral arterial graft (bypass), init encntr      Leakage of femoral arterial graft (bypass), initial encounter
84014 T82332D 1 Leakage of femoral arterial graft (bypass), subs encntr      Leakage of femoral arterial graft (bypass), subsequent encounter
84015 T82332S 1 Leakage of femoral arterial graft (bypass), sequela          Leakage of femoral arterial graft (bypass), sequela
84016 T82338  0 Leakage of other vascular grafts                             Leakage of other vascular grafts
84017 T82338A 1 Leakage of other vascular grafts, initial encounter          Leakage of other vascular grafts, initial encounter
84018 T82338D 1 Leakage of other vascular grafts, subsequent encounter       Leakage of other vascular grafts, subsequent encounter
84019 T82338S 1 Leakage of other vascular grafts, sequela                    Leakage of other vascular grafts, sequela
84020 T82339  0 Leakage of unspecified vascular graft                        Leakage of unspecified vascular graft
84021 T82339A 1 Leakage of unspecified vascular graft, initial encounter     Leakage of unspecified vascular graft, initial encounter
84022 T82339D 1 Leakage of unspecified vascular graft, subsequent encounter  Leakage of unspecified vascular graft, subsequent encounter
84023 T82339S 1 Leakage of unspecified vascular graft, sequela               Leakage of unspecified vascular graft, sequela
84024 T8239   0 Other mechanical complication of other vascular grafts       Other mechanical complication of other vascular grafts
84025 T82390  0 Mech compl of aortic (bifurcation) graft (replacement)       Other mechanical complication of aortic (bifurcation) graft (replacement)
84026 T82390A 1 Mech compl of aortic (bifurcation) graft (replacement), init Other mechanical complication of aortic (bifurcation) graft (replacement), initial encounter
84027 T82390D 1 Mech compl of aortic (bifurcation) graft (replacement), subs Other mechanical complication of aortic (bifurcation) graft (replacement), subsequent encounter
84028 T82390S 1 Mech compl of aortic (bifurcation) graft, sequela            Other mechanical complication of aortic (bifurcation) graft (replacement), sequela
84029 T82391  0 Mech compl of carotid arterial graft (bypass)                Other mechanical complication of carotid arterial graft (bypass)
84030 T82391A 1 Mech compl of carotid arterial graft (bypass), init encntr   Other mechanical complication of carotid arterial graft (bypass), initial encounter
84031 T82391D 1 Mech compl of carotid arterial graft (bypass), subs encntr   Other mechanical complication of carotid arterial graft (bypass), subsequent encounter
84032 T82391S 1 Mech compl of carotid arterial graft (bypass), sequela       Other mechanical complication of carotid arterial graft (bypass), sequela
84033 T82392  0 Mech compl of femoral arterial graft (bypass)                Other mechanical complication of femoral arterial graft (bypass)
84034 T82392A 1 Mech compl of femoral arterial graft (bypass), init encntr   Other mechanical complication of femoral arterial graft (bypass), initial encounter
84035 T82392D 1 Mech compl of femoral arterial graft (bypass), subs encntr   Other mechanical complication of femoral arterial graft (bypass), subsequent encounter
84036 T82392S 1 Mech compl of femoral arterial graft (bypass), sequela       Other mechanical complication of femoral arterial graft (bypass), sequela
84037 T82398  0 Other mechanical complication of other vascular grafts       Other mechanical complication of other vascular grafts
84038 T82398A 1 Mech compl of other vascular grafts, initial encounter       Other mechanical complication of other vascular grafts, initial encounter
84039 T82398D 1 Mech compl of other vascular grafts, subsequent encounter    Other mechanical complication of other vascular grafts, subsequent encounter
84040 T82398S 1 Mech compl of other vascular grafts, sequela                 Other mechanical complication of other vascular grafts, sequela
84041 T82399  0 Other mechanical complication of unspecified vascular grafts Other mechanical complication of unspecified vascular grafts
84042 T82399A 1 Mech compl of unspecified vascular grafts, initial encounter Other mechanical complication of unspecified vascular grafts, initial encounter
84043 T82399D 1 Mech compl of unspecified vascular grafts, subs encntr       Other mechanical complication of unspecified vascular grafts, subsequent encounter
84044 T82399S 1 Mech compl of unspecified vascular grafts, sequela           Other mechanical complication of unspecified vascular grafts, sequela
84045 T824    0 Mechanical complication of vascular dialysis catheter        Mechanical complication of vascular dialysis catheter
84046 T8241   0 Breakdown (mechanical) of vascular dialysis catheter         Breakdown (mechanical) of vascular dialysis catheter
84047 T8241XA 1 Breakdown (mechanical) of vascular dialysis catheter, init   Breakdown (mechanical) of vascular dialysis catheter, initial encounter
84048 T8241XD 1 Breakdown (mechanical) of vascular dialysis catheter, subs   Breakdown (mechanical) of vascular dialysis catheter, subsequent encounter
84049 T8241XS 1 Breakdown of vascular dialysis catheter, sequela             Breakdown (mechanical) of vascular dialysis catheter, sequela
84050 T8242   0 Displacement of vascular dialysis catheter                   Displacement of vascular dialysis catheter
84051 T8242XA 1 Displacement of vascular dialysis catheter, init encntr      Displacement of vascular dialysis catheter, initial encounter
84052 T8242XD 1 Displacement of vascular dialysis catheter, subs encntr      Displacement of vascular dialysis catheter, subsequent encounter
84053 T8242XS 1 Displacement of vascular dialysis catheter, sequela          Displacement of vascular dialysis catheter, sequela
84054 T8243   0 Leakage of vascular dialysis catheter                        Leakage of vascular dialysis catheter
84055 T8243XA 1 Leakage of vascular dialysis catheter, initial encounter     Leakage of vascular dialysis catheter, initial encounter
84056 T8243XD 1 Leakage of vascular dialysis catheter, subsequent encounter  Leakage of vascular dialysis catheter, subsequent encounter
84057 T8243XS 1 Leakage of vascular dialysis catheter, sequela               Leakage of vascular dialysis catheter, sequela
84058 T8249   0 Other complication of vascular dialysis catheter             Other complication of vascular dialysis catheter
84059 T8249XA 1 Oth complication of vascular dialysis catheter, init encntr  Other complication of vascular dialysis catheter, initial encounter
84060 T8249XD 1 Oth complication of vascular dialysis catheter, subs encntr  Other complication of vascular dialysis catheter, subsequent encounter
84061 T8249XS 1 Other complication of vascular dialysis catheter, sequela    Other complication of vascular dialysis catheter, sequela
84062 T825    0 Mechanical comp of cardiac and vascular devices and implants Mechanical complication of other cardiac and vascular devices and implants
84063 T8251   0 Breakdown of cardiac and vascular devices and implants       Breakdown (mechanical) of other cardiac and vascular devices and implants
84064 T82510  0 Breakdown (mechanical) of surgically created AV fistula      Breakdown (mechanical) of surgically created arteriovenous fistula
84065 T82510A 1 Breakdown of surgically created AV fistula, init             Breakdown (mechanical) of surgically created arteriovenous fistula, initial encounter
84066 T82510D 1 Breakdown of surgically created AV fistula, subs             Breakdown (mechanical) of surgically created arteriovenous fistula, subsequent encounter
84067 T82510S 1 Breakdown of surgically created AV fistula, sequela          Breakdown (mechanical) of surgically created arteriovenous fistula, sequela
84068 T82511  0 Breakdown (mechanical) of surgically created AV shunt        Breakdown (mechanical) of surgically created arteriovenous shunt
84069 T82511A 1 Breakdown (mechanical) of surgically created AV shunt, init  Breakdown (mechanical) of surgically created arteriovenous shunt, initial encounter
84070 T82511D 1 Breakdown (mechanical) of surgically created AV shunt, subs  Breakdown (mechanical) of surgically created arteriovenous shunt, subsequent encounter
84071 T82511S 1 Breakdown of surgically created AV shunt, sequela            Breakdown (mechanical) of surgically created arteriovenous shunt, sequela
84072 T82512  0 Breakdown (mechanical) of artificial heart                   Breakdown (mechanical) of artificial heart
84073 T82512A 1 Breakdown (mechanical) of artificial heart, init encntr      Breakdown (mechanical) of artificial heart, initial encounter
84074 T82512D 1 Breakdown (mechanical) of artificial heart, subs encntr      Breakdown (mechanical) of artificial heart, subsequent encounter
84075 T82512S 1 Breakdown (mechanical) of artificial heart, sequela          Breakdown (mechanical) of artificial heart, sequela
84076 T82513  0 Breakdown (mechanical) of balloon (counterpulsation) device  Breakdown (mechanical) of balloon (counterpulsation) device
84077 T82513A 1 Breakdown of balloon (counterpulsation) device, init         Breakdown (mechanical) of balloon (counterpulsation) device, initial encounter
84078 T82513D 1 Breakdown of balloon (counterpulsation) device, subs         Breakdown (mechanical) of balloon (counterpulsation) device, subsequent encounter
84079 T82513S 1 Breakdown of balloon (counterpulsation) device, sequela      Breakdown (mechanical) of balloon (counterpulsation) device, sequela
84080 T82514  0 Breakdown (mechanical) of infusion catheter                  Breakdown (mechanical) of infusion catheter
84081 T82514A 1 Breakdown (mechanical) of infusion catheter, init encntr     Breakdown (mechanical) of infusion catheter, initial encounter
84082 T82514D 1 Breakdown (mechanical) of infusion catheter, subs encntr     Breakdown (mechanical) of infusion catheter, subsequent encounter
84083 T82514S 1 Breakdown (mechanical) of infusion catheter, sequela         Breakdown (mechanical) of infusion catheter, sequela
84084 T82515  0 Breakdown (mechanical) of umbrella device                    Breakdown (mechanical) of umbrella device
84085 T82515A 1 Breakdown (mechanical) of umbrella device, initial encounter Breakdown (mechanical) of umbrella device, initial encounter
84086 T82515D 1 Breakdown (mechanical) of umbrella device, subs encntr       Breakdown (mechanical) of umbrella device, subsequent encounter
84087 T82515S 1 Breakdown (mechanical) of umbrella device, sequela           Breakdown (mechanical) of umbrella device, sequela
84088 T82518  0 Breakdown of cardiac and vascular devices and implants       Breakdown (mechanical) of other cardiac and vascular devices and implants
84089 T82518A 1 Breakdown of cardiac and vascular devices and implants, init Breakdown (mechanical) of other cardiac and vascular devices and implants, initial encounter
84090 T82518D 1 Breakdown of cardiac and vascular devices and implants, subs Breakdown (mechanical) of other cardiac and vascular devices and implants, subsequent encounter
84091 T82518S 1 Brkdwn cardiac and vascular devices and implants, sequela    Breakdown (mechanical) of other cardiac and vascular devices and implants, sequela
84092 T82519  0 Breakdown of unsp cardiac and vascular devices and implants  Breakdown (mechanical) of unspecified cardiac and vascular devices and implants
84093 T82519A 1 Brkdwn unsp cardiac and vascular devices and implants, init  Breakdown (mechanical) of unspecified cardiac and vascular devices and implants, initial encounter
84094 T82519D 1 Brkdwn unsp cardiac and vascular devices and implants, subs  Breakdown (mechanical) of unspecified cardiac and vascular devices and implants, subsequent encounter
84095 T82519S 1 Brkdwn unsp cardiac and vascular devices and implnt, sequela Breakdown (mechanical) of unspecified cardiac and vascular devices and implants, sequela
84096 T8252   0 Displacement of cardiac and vascular devices and implants    Displacement of other cardiac and vascular devices and implants
84097 T82520  0 Displacement of surgically created arteriovenous fistula     Displacement of surgically created arteriovenous fistula
84098 T82520A 1 Displacement of surgically created AV fistula, init          Displacement of surgically created arteriovenous fistula, initial encounter
84099 T82520D 1 Displacement of surgically created AV fistula, subs          Displacement of surgically created arteriovenous fistula, subsequent encounter
84100 T82520S 1 Displacement of surgically created AV fistula, sequela       Displacement of surgically created arteriovenous fistula, sequela
84101 T82521  0 Displacement of surgically created arteriovenous shunt       Displacement of surgically created arteriovenous shunt
84102 T82521A 1 Displacement of surgically created arteriovenous shunt, init Displacement of surgically created arteriovenous shunt, initial encounter
84103 T82521D 1 Displacement of surgically created arteriovenous shunt, subs Displacement of surgically created arteriovenous shunt, subsequent encounter
84104 T82521S 1 Displacement of surgically created AV shunt, sequela         Displacement of surgically created arteriovenous shunt, sequela
84105 T82522  0 Displacement of artificial heart                             Displacement of artificial heart
84106 T82522A 1 Displacement of artificial heart, initial encounter          Displacement of artificial heart, initial encounter
84107 T82522D 1 Displacement of artificial heart, subsequent encounter       Displacement of artificial heart, subsequent encounter
84108 T82522S 1 Displacement of artificial heart, sequela                    Displacement of artificial heart, sequela
84109 T82523  0 Displacement of balloon (counterpulsation) device            Displacement of balloon (counterpulsation) device
84110 T82523A 1 Displacement of balloon (counterpulsation) device, init      Displacement of balloon (counterpulsation) device, initial encounter
84111 T82523D 1 Displacement of balloon (counterpulsation) device, subs      Displacement of balloon (counterpulsation) device, subsequent encounter
84112 T82523S 1 Displacement of balloon (counterpulsation) device, sequela   Displacement of balloon (counterpulsation) device, sequela
84113 T82524  0 Displacement of infusion catheter                            Displacement of infusion catheter
84114 T82524A 1 Displacement of infusion catheter, initial encounter         Displacement of infusion catheter, initial encounter
84115 T82524D 1 Displacement of infusion catheter, subsequent encounter      Displacement of infusion catheter, subsequent encounter
84116 T82524S 1 Displacement of infusion catheter, sequela                   Displacement of infusion catheter, sequela
84117 T82525  0 Displacement of umbrella device                              Displacement of umbrella device
84118 T82525A 1 Displacement of umbrella device, initial encounter           Displacement of umbrella device, initial encounter
84119 T82525D 1 Displacement of umbrella device, subsequent encounter        Displacement of umbrella device, subsequent encounter
84120 T82525S 1 Displacement of umbrella device, sequela                     Displacement of umbrella device, sequela
84121 T82528  0 Displacement of cardiac and vascular devices and implants    Displacement of other cardiac and vascular devices and implants
84122 T82528A 1 Displacmnt of cardiac and vascular devices and implnt, init  Displacement of other cardiac and vascular devices and implants, initial encounter
84123 T82528D 1 Displacmnt of cardiac and vascular devices and implnt, subs  Displacement of other cardiac and vascular devices and implants, subsequent encounter
84124 T82528S 1 Displacmnt of cardiac and vasc devices and implnt, sequela   Displacement of other cardiac and vascular devices and implants, sequela
84125 T82529  0 Displacmnt of unsp cardiac and vascular devices and implants Displacement of unspecified cardiac and vascular devices and implants
84126 T82529A 1 Displacmnt of unsp cardiac and vasc devices and implnt, init Displacement of unspecified cardiac and vascular devices and implants, initial encounter
84127 T82529D 1 Displacmnt of unsp cardiac and vasc devices and implnt, subs Displacement of unspecified cardiac and vascular devices and implants, subsequent encounter
84128 T82529S 1 Displacmnt of unsp card and vasc devices and implnt, sequela Displacement of unspecified cardiac and vascular devices and implants, sequela
84129 T8253   0 Leakage of other cardiac and vascular devices and implants   Leakage of other cardiac and vascular devices and implants
84130 T82530  0 Leakage of surgically created arteriovenous fistula          Leakage of surgically created arteriovenous fistula
84131 T82530A 1 Leakage of surgically created arteriovenous fistula, init    Leakage of surgically created arteriovenous fistula, initial encounter
84132 T82530D 1 Leakage of surgically created arteriovenous fistula, subs    Leakage of surgically created arteriovenous fistula, subsequent encounter
84133 T82530S 1 Leakage of surgically created arteriovenous fistula, sequela Leakage of surgically created arteriovenous fistula, sequela
84134 T82531  0 Leakage of surgically created arteriovenous shunt            Leakage of surgically created arteriovenous shunt
84135 T82531A 1 Leakage of surgically created arteriovenous shunt, init      Leakage of surgically created arteriovenous shunt, initial encounter
84136 T82531D 1 Leakage of surgically created arteriovenous shunt, subs      Leakage of surgically created arteriovenous shunt, subsequent encounter
84137 T82531S 1 Leakage of surgically created arteriovenous shunt, sequela   Leakage of surgically created arteriovenous shunt, sequela
84138 T82532  0 Leakage of artificial heart                                  Leakage of artificial heart
84139 T82532A 1 Leakage of artificial heart, initial encounter               Leakage of artificial heart, initial encounter
84140 T82532D 1 Leakage of artificial heart, subsequent encounter            Leakage of artificial heart, subsequent encounter
84141 T82532S 1 Leakage of artificial heart, sequela                         Leakage of artificial heart, sequela
84142 T82533  0 Leakage of balloon (counterpulsation) device                 Leakage of balloon (counterpulsation) device
84143 T82533A 1 Leakage of balloon (counterpulsation) device, init encntr    Leakage of balloon (counterpulsation) device, initial encounter
84144 T82533D 1 Leakage of balloon (counterpulsation) device, subs encntr    Leakage of balloon (counterpulsation) device, subsequent encounter
84145 T82533S 1 Leakage of balloon (counterpulsation) device, sequela        Leakage of balloon (counterpulsation) device, sequela
84146 T82534  0 Leakage of infusion catheter                                 Leakage of infusion catheter
84147 T82534A 1 Leakage of infusion catheter, initial encounter              Leakage of infusion catheter, initial encounter
84148 T82534D 1 Leakage of infusion catheter, subsequent encounter           Leakage of infusion catheter, subsequent encounter
84149 T82534S 1 Leakage of infusion catheter, sequela                        Leakage of infusion catheter, sequela
84150 T82535  0 Leakage of umbrella device                                   Leakage of umbrella device
84151 T82535A 1 Leakage of umbrella device, initial encounter                Leakage of umbrella device, initial encounter
84152 T82535D 1 Leakage of umbrella device, subsequent encounter             Leakage of umbrella device, subsequent encounter
84153 T82535S 1 Leakage of umbrella device, sequela                          Leakage of umbrella device, sequela
84154 T82538  0 Leakage of other cardiac and vascular devices and implants   Leakage of other cardiac and vascular devices and implants
84155 T82538A 1 Leakage of cardiac and vascular devices and implants, init   Leakage of other cardiac and vascular devices and implants, initial encounter
84156 T82538D 1 Leakage of cardiac and vascular devices and implants, subs   Leakage of other cardiac and vascular devices and implants, subsequent encounter
84157 T82538S 1 Leakage of cardiac and vascular devices and implnt, sequela  Leakage of other cardiac and vascular devices and implants, sequela
84158 T82539  0 Leakage of unsp cardiac and vascular devices and implants    Leakage of unspecified cardiac and vascular devices and implants
84159 T82539A 1 Leakage of unsp cardiac and vasc devices and implnt, init    Leakage of unspecified cardiac and vascular devices and implants, initial encounter
84160 T82539D 1 Leakage of unsp cardiac and vasc devices and implnt, subs    Leakage of unspecified cardiac and vascular devices and implants, subsequent encounter
84161 T82539S 1 Leakage of unsp cardiac and vasc devices and implnt, sequela Leakage of unspecified cardiac and vascular devices and implants, sequela
84162 T8259   0 Mech compl of oth cardiac and vascular devices and implants  Other mechanical complication of other cardiac and vascular devices and implants
84163 T82590  0 Mech compl of surgically created arteriovenous fistula       Other mechanical complication of surgically created arteriovenous fistula
84164 T82590A 1 Mech compl of surgically created arteriovenous fistula, init Other mechanical complication of surgically created arteriovenous fistula, initial encounter
84165 T82590D 1 Mech compl of surgically created arteriovenous fistula, subs Other mechanical complication of surgically created arteriovenous fistula, subsequent encounter
84166 T82590S 1 Mech compl of surgically created AV fistula, sequela         Other mechanical complication of surgically created arteriovenous fistula, sequela
84167 T82591  0 Mech compl of surgically created arteriovenous shunt         Other mechanical complication of surgically created arteriovenous shunt
